Blue,CloudMask,CloudMaskConfidence,DiffInDays,FieldValue,Green,ImageDate,ImageName,Lake,MaxDepth,Method,NIR,Organization,Red,SWIR1,SWIR2,SampleDepth,SamplingDate,Sensor,StationID
512,1,1,-9 days +00:00:00.000000000,8,527,1995-07-26,LT50380321995207,Gilbert,6.0,Welschmeyer Fluorometric Method,74,USGS,142,36,-13,1,1995-08-04,LANDSAT/LT5_SR,2820
551,1,1,7 days 00:00:00.000000000,8,625,1995-08-11,LT50380321995223,Gilbert,6.0,Welschmeyer Fluorometric Method,105,USGS,262,34,60,1,1995-08-04,LANDSAT/LT5_SR,2820
589,1,1,-2 days +00:00:00.000000000,8,581,1995-08-02,LT50390311995214,Gilbert,6.0,Welschmeyer Fluorometric Method,169,USGS,255,68,101,1,1995-08-04,LANDSAT/LT5_SR,2820
518,1,1,5 days 00:00:00.000000000,8,573,1995-08-27,LT50380321995239,Gilbert,7.3,Welschmeyer Fluorometric Method,100,USGS,248,45,-13,1,1995-08-22,LANDSAT/LT5_SR,4069
562,1,1,4 days 00:00:00.000000000,2,616,1995-08-27,LT50380321995239,Gilbert,2.1,Welschmeyer Fluorometric Method,142,USGS,349,72,-12,1,1995-08-23,LANDSAT/LT5_SR,3641
576,1,1,-10 days +00:00:00.000000000,4,655,1995-08-27,LT50380311995239,Gilbert,4.3,Welschmeyer Fluorometric Method,89,USGS,307,15,67,1,1995-09-06,LANDSAT/LT5_SR,2583
450,1,1,6 days 00:00:00.000000000,4,616,1995-09-12,LT50380311995255,Gilbert,4.3,Welschmeyer Fluorometric Method,85,USGS,212,11,25,1,1995-09-06,LANDSAT/LT5_SR,2583
565,1,1,-10 days +00:00:00.000000000,4,645,1995-08-27,LT50380321995239,Gilbert,4.3,Welschmeyer Fluorometric Method,89,USGS,303,14,66,1,1995-09-06,LANDSAT/LT5_SR,2583
434,1,1,6 days 00:00:00.000000000,4,602,1995-09-12,LT50380321995255,Gilbert,4.3,Welschmeyer Fluorometric Method,82,USGS,205,11,24,1,1995-09-06,LANDSAT/LT5_SR,2583
385,1,1,-3 days +00:00:00.000000000,4,421,1995-09-03,LT50390311995246,Gilbert,4.3,Welschmeyer Fluorometric Method,197,USGS,227,21,27,1,1995-09-06,LANDSAT/LT5_SR,2583
563,1,1,3 days 00:00:00.000000000,2,566,1995-09-28,LT50380321995271,Gilbert,9.2,Welschmeyer Fluorometric Method,167,USGS,267,84,31,1,1995-09-25,LANDSAT/LT5_SR,3510
530,1,1,-6 days +00:00:00.000000000,2,521,1995-09-19,LT50390311995262,Gilbert,9.2,Welschmeyer Fluorometric Method,168,USGS,220,22,32,1,1995-09-25,LANDSAT/LT5_SR,3510
744,1,1,10 days 00:00:00.000000000,2,835,1995-10-05,LT50390311995278,Gilbert,9.2,Welschmeyer Fluorometric Method,135,USGS,468,124,-15,1,1995-09-25,LANDSAT/LT5_SR,3510
513,1,1,-6 days +00:00:00.000000000,2,508,1995-09-19,LT50390321995262,Gilbert,9.2,Welschmeyer Fluorometric Method,119,USGS,214,52,29,1,1995-09-25,LANDSAT/LT5_SR,3510
691,1,1,10 days 00:00:00.000000000,2,807,1995-10-05,LT50390321995278,Gilbert,9.2,Welschmeyer Fluorometric Method,131,USGS,453,120,-14,1,1995-09-25,LANDSAT/LT5_SR,3510
447,1,1,3 days 00:00:00.000000000,10,763,1995-09-28,LT50380321995271,Gilbert,2.1,Welschmeyer Fluorometric Method,169,USGS,427,85,32,1,1995-09-25,LANDSAT/LT5_SR,3641
